visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P048,adventurer,105,2025-10-11T03:12:16.559757,boarded_ride,Ride1,,1,"{""ride_name"": ""Ride1""}"
P048,adventurer,140,2025-10-11T03:12:16.887535,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P048,adventurer,146,2025-10-11T03:12:16.957075,joined_queue,Ride1,2,,"{""ride_name"": ""Ride1"", ""queue_position"": 2}"
P048,adventurer,167,2025-10-11T03:12:16.997963,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 167, ""ride_id"": ""Ride1"", ""queue_len"": 2, ""patience_at_leave"": 4}"
P048,adventurer,168,2025-10-11T03:12:16.999154,joined_queue,Ride1,5,,"{""ride_name"": ""Ride1"", ""queue_position"": 5}"
P048,adventurer,173,2025-10-11T03:12:17.002140,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 173, ""ride_id"": ""Ride1"", ""queue_len"": 5, ""patience_at_leave"": 4}"
P048,adventurer,174,2025-10-11T03:12:17.002882,joined_queue,Ride1,6,,"{""ride_name"": ""Ride1"", ""queue_position"": 6}"
P048,adventurer,175,2025-10-11T03:12:17.003471,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 175, ""ride_id"": ""Ride1"", ""queue_len"": 6, ""patience_at_leave"": 8}"
P048,adventurer,176,2025-10-11T03:12:17.004347,joined_queue,Ride1,7,,"{""ride_name"": ""Ride1"", ""queue_position"": 7}"
P048,adventurer,180,2025-10-11T03:12:17.008020,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 180, ""ride_id"": ""Ride1"", ""queue_len"": 7, ""patience_at_leave"": 9}"
P048,adventurer,186,2025-10-11T03:12:17.016475,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P048,adventurer,187,2025-10-11T03:12:17.017244,boarded_ride,Ride1,,1,"{""ride_name"": ""Ride1""}"
P050,impatient,17,2025-10-11T03:12:15.271828,joined_queue,Ride1,4,,"{""ride_name"": ""Ride1"", ""queue_position"": 4}"
P050,impatient,23,2025-10-11T03:12:15.347020,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P050,impatient,58,2025-10-11T03:12:16.046913,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P050,impatient,100,2025-10-11T03:12:16.495157,departed,,,,"{""total_rides"": 2}"
P051,explorer,45,2025-10-11T03:12:15.723707,joined_queue,Ride2,6,,"{""ride_name"": ""Ride2"", ""queue_position"": 6}"
P051,explorer,56,2025-10-11T03:12:15.990887,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 56, ""ride_id"": ""Ride2"", ""queue_len"": 8, ""patience_at_leave"": 10}"
P051,explorer,87,2025-10-11T03:12:16.385501,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P051,explorer,130,2025-10-11T03:12:16.749012,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P052,adventurer,163,2025-10-11T03:12:16.994821,departed,,,,"{""total_rides"": 0}"
P053,family,61,2025-10-11T03:12:16.109252,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P053,family,69,2025-10-11T03:12:16.223876,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 69, ""ride_id"": ""Ride2"", ""queue_len"": 7, ""patience_at_leave"": 10}"
P053,family,88,2025-10-11T03:12:16.390921,boarded_ride,Ride2,,7,"{""ride_name"": ""Ride2""}"
P053,family,130,2025-10-11T03:12:16.749176,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P053,family,133,2025-10-11T03:12:16.790389,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P053,family,138,2025-10-11T03:12:16.865963,boarded_ride,Ride2,,7,"{""ride_name"": ""Ride2""}"
P053,family,180,2025-10-11T03:12:17.008086,joined_queue,Ride2,4,,"{""ride_name"": ""Ride2"", ""queue_position"": 4}"
P053,family,187,2025-10-11T03:12:17.017322,boarded_ride,Ride2,,7,"{""ride_name"": ""Ride2""}"
P054,impatient,120,2025-10-11T03:12:16.668196,departed,,,,"{""total_rides"": 0}"
P055,explorer,178,2025-10-11T03:12:17.005789,departed,,,,"{""total_rides"": 0}"
P056,adventurer,160,2025-10-11T03:12:16.991647,departed,,,,"{""total_rides"": 0}"
P058,impatient,37,2025-10-11T03:12:15.565627,departed,,,,"{""total_rides"": 0}"
P059,explorer,161,2025-10-11T03:12:16.992498,departed,,,,"{""total_rides"": 0}"
